Job Family,Job Profile,Job Description,Job Level,Role Group,Role Level Name,Role Group Skills,Role Level Skills
Product,Senior Product Manager,Leads product initiatives and manages product lifecycle.,M2,Product Management,Product Management M2,"Market Research;User Stories;Agile Methodologies;Roadmapping;Stakeholder Management;Data Analysis","Market Research:Advanced;Stakeholder Management:Proficient;Data Analysis:Proficient"
HR,HR Business Partner,Aligns HR strategies with business objectives.,M1,HR Operations,HR Operations M1,"Employee Relations;Talent Management;Compensation;HR Policies","Employee Relations:Proficient;Talent Management:Intermediate"
HR,Recruiter,Manages full-cycle recruitment processes.,IC2,Talent Acquisition,Talent Acquisition IC2,"Sourcing;Interviewing;Candidate Management;ATS Systems","Sourcing:Proficient;Interviewing:Proficient;ATS Systems:Intermediate"
Finance,Financial Analyst,Performs financial forecasting, reporting, and operational metrics tracking.,IC1,Financial Planning,Financial Planning IC1,"Excel;Financial Modeling;Data Analysis;Reporting","Excel:Advanced;Financial Modeling:Intermediate"
Finance,Senior Financial Analyst,Leads financial planning and analysis activities.,IC3,Financial Planning,Financial Planning IC3,"Excel;Financial Modeling;SQL;Budgeting;Forecasting;Variance Analysis","Excel:Expert;Financial Modeling:Proficient;SQL:Intermediate;Budgeting:Proficient"
Marketing,Marketing Specialist,Executes marketing campaigns and analyzes performance.,IC2,Digital Marketing,Digital Marketing IC2,"SEO;SEM;Social Media Marketing;Content Creation;Google Analytics","SEO:Intermediate;SEM:Intermediate;Social Media Marketing:Proficient"
Marketing,Marketing Manager,Develops and oversees marketing strategies and teams.,M1,Marketing Strategy,Marketing Strategy M1,"Market Analysis;Campaign Management;Branding;Team Leadership","Market Analysis:Proficient;Campaign Management:Proficient;Branding:Intermediate"
Sales,Sales Development Representative,Generates leads and qualifies prospects.,IC1,Sales Operations,Sales Operations IC1,"Cold Calling;Email Outreach;CRM (Salesforce);Lead Qualification","Cold Calling:Proficient;CRM (Salesforce):Intermediate"
Sales,Account Executive,Manages client relationships and closes sales deals.,IC2,Field Sales,Field Sales IC2,"Negotiation;Presentation Skills;CRM;Solution Selling","Negotiation:Proficient;Presentation Skills:Proficient;Solution Selling:Intermediate"
Support,Customer Support Specialist,Provides assistance and resolves customer issues.,IC1,Technical Support,Technical Support IC1,"Troubleshooting;Communication;Product Knowledge;Ticketing Systems","Troubleshooting:Proficient;Communication:Advanced;Product Knowledge:Intermediate"
Support,Senior Customer Support Lead,Manages a team of support specialists and handles escalations.,M1,Support Management,Support Management M1,"Team Leadership;Problem Solving;Customer Service Excellence;Process Improvement","Team Leadership:Proficient;Problem Solving:Advanced"
Design,UX Designer,Creates user-centered designs for digital products.,IC2,User Experience,User Experience IC2,"Wireframing;Prototyping;User Research;Figma/Sketch;Usability Testing","Wireframing:Proficient;Prototyping:Proficient;User Research:Intermediate;Figma/Sketch:Proficient"
Design,UI Designer,Designs visually appealing and intuitive user interfaces.,IC2,User Interface,User Interface IC2,"Visual Design;Typography;Color Theory;Adobe Creative Suite;Interaction Design","Visual Design:Proficient;Adobe Creative Suite:Proficient;Typography:Advanced"
