Capability,Competency,Type,Name,Description,,
Software Engineering,Coding & Implementation,Skill,Refactoring,The process of restructuring existing computer code—changing the factoring—without changing its external behavior.,,
Software Engineering,Coding & Implementation,Skill,Test-Driven Development (TDD),A software development process where tests are written for a new feature before the feature itself is implemented.,,
Software Engineering,Coding & Implementation,Skill,SOLID Principles,"A set of five design principles intended to make software designs more understandable, flexible, and maintainable.",,
Software Engineering,Coding & Implementation,Skill,Object-Oriented Programming (OOP),"A programming paradigm based on the concept of 'objects', which can contain data and code.",,
Software Engineering,Coding & Implementation,Skill,Functional Programming,A programming paradigm that treats computation as the evaluation of mathematical functions and avoids changing-state and mutable data.,,
Software Engineering,Coding & Implementation,Behavior,Attention to detail,The ability to achieve thoroughness and accuracy when accomplishing a coding task.,,
Software Engineering,Coding & Implementation,Behavior,Persistence,The quality of continuing to work on a difficult coding problem until a solution is found.,,
Software Engineering,Coding & Implementation,Behavior,Readability focus,A commitment to writing code that is easy for other humans to read and understand.,,
Software Engineering,Coding & Implementation,Behavior,Continuous learning,"A proactive approach to staying up-to-date with new technologies, languages, and best practices in software development.",,
Software Engineering,Coding & Implementation,Behavior,Problem-solving mindset,"A methodical and creative approach to identifying, analyzing, and solving technical challenges.",,
Software Engineering,Front-End Development,Skill,HTML5,Proficiency in using the latest standard of HyperText Markup Language for structuring web content.,,
Software Engineering,Front-End Development,Skill,CSS3 (Flexbox, Grid),"Mastery of the latest Cascading Style Sheets standard, including modern layout systems like Flexbox and Grid.",
Software Engineering,Front-End Development,Skill,JavaScript (ES6+),"Advanced proficiency in the JavaScript language, including modern features introduced in ES6 and beyond.",,
Software Engineering,Front-End Development,Skill,React.js,The ability to build dynamic user interfaces using the React.js library.,,
Software Engineering,Front-End Development,Skill,Angular,"The ability to develop complex, single-page applications using the Angular framework.",,
Software Engineering,Front-End Development,Skill,Vue.js,The ability to create interactive and performant web interfaces using the Vue.js framework.,,
Software Engineering,Front-End Development,Skill,State Management (Redux, MobX, Vuex),Knowledge of libraries for managing the state of a complex application in a predictable way.
Software Engineering,Front-End Development,Skill,Front-End Build Tools (Webpack, Vite),Familiarity with tools used to bundle and optimize front-end assets for deployment.,
Software Engineering,Front-End Development,Skill,CSS Preprocessors (SASS, LESS),The ability to use CSS extension languages to write more maintainable and powerful styles.,
Software Engineering,Front-End Development,Skill,Responsive Web Design,The skill of creating web pages that look good and function well on a variety of devices and screen sizes.,,
Software Engineering,Front-End Development,Skill,Web Accessibility (WAI-ARIA),"The practice of making websites usable by people with disabilities, following established standards.",,
Software Engineering,Front-End Development,Skill,Browser DevTools,Proficiency in using the built-in developer tools in web browsers for debugging and performance analysis.,,
Software Engineering,Front-End Development,Skill,Performance Optimization (Lighthouse),"The skill of using tools like Lighthouse to audit and improve the performance, quality, and correctness of web pages.",,
Software Engineering,Front-End Development,Behavior,User-centric mindset,A focus on creating a positive and intuitive experience for the end-user when building interfaces.,,
Software Engineering,Front-End Development,Behavior,Pixel-perfect attention to detail,A commitment to faithfully translating design mockups into code with a high degree of visual accuracy.,,
Software Engineering,Back-End Development,Skill,Node.js (Express, Koa),"The ability to build scalable, server-side applications using the Node.js runtime and its associated frameworks.",
Software Engineering,Back-End Development,Skill,Python (Django, Flask, FastAPI),The ability to develop robust web back-ends using popular Python frameworks.
Software Engineering,Back-End Development,Skill,Java (Spring, Spring Boot),"The ability to create enterprise-level, high-performance back-end services using the Spring framework.",
Software Engineering,Back-End Development,Skill,C# (.NET, ASP.NET),The skill of building web services and applications on the Microsoft .NET platform using C#.,
Software Engineering,Back-End Development,Skill,Ruby (Ruby on Rails),The ability to rapidly develop web applications using the Ruby on Rails convention-over-configuration framework.,,
Software Engineering,Back-End Development,Skill,PHP (Laravel, Symfony),The ability to create web applications and services using the PHP language and its modern frameworks.,
Software Engineering,Back-End Development,Skill,RESTful API Design,The skill of designing APIs that follow the principles of Representational State Transfer (REST).,,
Software Engineering,Back-End Development,Skill,GraphQL API Design,The ability to design and build flexible and efficient APIs using the GraphQL query language.,,
Software Engineering,Back-End Development,Skill,SQL Database Management (PostgreSQL, MySQL),Proficiency in managing and querying relational databases using Structured Query Language (SQL).,
Software Engineering,Back-End Development,Skill,NoSQL Database Management (MongoDB, DynamoDB),Proficiency in managing and querying non-relational databases designed for flexible data models.,
Software Engineering,Back-End Development,Skill,Authentication & Authorization (OAuth, JWT),The skill of implementing secure systems for verifying user identity and controlling access to resources.,
Software Engineering,Back-End Development,Skill,Object-Relational Mapping (ORM),The ability to use libraries that automate the transfer of data between object-oriented programs and relational databases.,,
Software Engineering,Back-End Development,Behavior,Scalability focus,A consistent consideration for how the back-end system will perform under increasing load and data volume.,,
Software Engineering,Back-End Development,Behavior,Security-first mindset,The practice of prioritizing security considerations at every stage of the back-end development lifecycle.,,
Software Engineering,Mobile Development,Skill,Swift (for iOS),The ability to develop native applications for Apple platforms using the Swift programming language.,,
Software Engineering,Mobile Development,Skill,Kotlin (for Android),The ability to develop native applications for the Android platform using the Kotlin programming language.,,
Software Engineering,Mobile Development,Skill,React Native,The skill of building cross-platform mobile applications using the React Native framework.,,
Software Engineering,Mobile Development,Skill,Flutter,"The skill of developing cross-platform applications for mobile, web, and desktop from a single codebase using Google's Flutter framework.",,
Software Engineering,Mobile Development,Skill,Objective-C (Legacy iOS),The ability to maintain and extend older iOS applications written in the Objective-C language.,,
Software Engineering,Mobile Development,Skill,Java (Legacy Android),The ability to maintain and extend older Android applications written in the Java language.,,
Software Engineering,Mobile Development,Skill,Xcode IDE,"Proficiency in using Apple's integrated development environment for building software for macOS, iOS, iPadOS, watchOS, and tvOS.",,
Software Engineering,Mobile Development,Skill,Android Studio IDE,Proficiency in using Google's official integrated development environment for Android app development.,,
Software Engineering,Mobile Development,Skill,Mobile UI/UX Principles,An understanding of the design principles and user interaction patterns specific to mobile devices.,,
Software Engineering,Mobile Development,Skill,App Store Submission Process,Familiarity with the procedures and requirements for successfully publishing an application to the Apple App Store and Google Play Store.,,
Software Engineering,Mobile Development,Skill,Mobile Performance Optimization,"The skill of optimizing mobile applications for speed, responsiveness, and efficient use of battery and memory.",,
Software Engineering,Mobile Development,Behavior,Adaptability to different screen sizes,The practice of designing and developing mobile interfaces that work effectively across a wide range of screen dimensions and resolutions.,,
Software Engineering,Mobile Development,Behavior,Focus on user experience,"A deep commitment to creating mobile applications that are not only functional but also intuitive, engaging, and easy to use.",,
Software Engineering,Testing & Debugging,Skill,Unit testing,"The practice of writing small, isolated tests for individual functions or components of an application.",,
Software Engineering,Testing & Debugging,Skill,Integration testing,The phase in software testing in which individual software modules are combined and tested as a group.,,
Software Engineering,Testing & Debugging,Skill,Debugging tools (debuggers, profilers),"Proficiency in using software tools to identify, analyze, and fix bugs and performance issues in code.",
Software Engineering,Testing & Debugging,Skill,Root cause analysis,The systematic process of identifying the fundamental cause of a problem or bug to prevent its recurrence.,,
Software Engineering,Testing & Debugging,Skill,Performance testing,"The process of determining the speed, responsiveness, and stability of a computer, network, software program, or device under a workload.",,
Software Engineering,Testing & Debugging,Skill,End-to-end testing,A methodology used to test whether the flow of an application is performing as designed from start to finish.,,
Software Engineering,Testing & Debugging,Skill,Automated testing frameworks (Selenium, Cypress, Jest),The ability to use software frameworks to automate the execution of tests and the reporting of their results.
Software Engineering,Testing & Debugging,Skill,Mutation Testing,"A type of software testing where small, deliberate changes (mutations) are introduced to the source code to check the quality of tests.",,
Software Engineering,Testing & Debugging,Skill,Load Testing (JMeter, Gatling),The process of simulating real-world user load on any application or website to determine its behavior under normal and peak conditions.,
Software Engineering,Testing & Debugging,Skill,Security Testing (Penetration Testing),The practice of actively trying to exploit vulnerabilities in a system to identify and fix security weaknesses.,,
Software Engineering,Testing & Debugging,Behavior,Systematic approach,"Applying a logical, methodical process to testing and debugging to ensure comprehensive coverage and efficient problem-solving.",,
Software Engineering,Testing & Debugging,Behavior,Patience,The ability to remain calm and persistent when tracking down complex and elusive bugs.,,
Software Engineering,Testing & Debugging,Behavior,Quality mindset,"A deep-seated commitment to delivering high-quality, reliable software by embedding quality practices throughout the development process.",,
Software Engineering,Testing & Debugging,Behavior,Thoroughness,The practice of being meticulous and exhaustive in testing scenarios and investigating issues to ensure all edge cases are considered.,,
Software Engineering,DevOps & Infrastructure,Skill,Docker,"The ability to use the Docker platform to develop, ship, and run applications inside lightweight, portable containers.",,
Software Engineering,DevOps & Infrastructure,Skill,Kubernetes,"The ability to use the Kubernetes platform to automate the deployment, scaling, and management of containerized applications.",,
Software Engineering,DevOps & Infrastructure,Skill,Infrastructure as Code (Terraform, Ansible),"The practice of managing and provisioning infrastructure through machine-readable definition files, rather than through physical hardware configuration or interactive configuration tools.",
Software Engineering,DevOps & Infrastructure,Skill,CI/CD pipelines (Jenkins, GitLab CI, GitHub Actions),"The skill of creating automated pipelines for Continuous Integration and Continuous Deployment to build, test, and deploy code changes efficiently."
Software Engineering,DevOps & Infrastructure,Skill,Monitoring & Alerting (Prometheus, Grafana),"The ability to set up and use tools to collect, visualize, and alert on metrics and logs from infrastructure and applications.",
Software Engineering,DevOps & Infrastructure,Skill,Cloud Computing (AWS, Azure, GCP),"Proficiency in using the services and infrastructure provided by major cloud platforms like Amazon Web Services, Microsoft Azure, and Google Cloud Platform."
Software Engineering,DevOps & Infrastructure,Skill,Serverless Architecture (AWS Lambda),"The ability to build and run applications without provisioning or managing servers, using frameworks like AWS Lambda.",,
Software Engineering,DevOps & Infrastructure,Skill,Network Configuration,"Knowledge of how to configure virtual private clouds (VPCs), subnets, firewalls, and other networking components in a cloud environment.",,
Software Engineering,DevOps & Infrastructure,Skill,Log Management (ELK Stack, Splunk),"The skill of collecting, centralizing, and analyzing log data from various systems to troubleshoot issues and gain operational insights.",
Software Engineering,DevOps & Infrastructure,Behavior,Automation mindset,"A continuous drive to automate repetitive manual tasks related to building, testing, deploying, and maintaining software.",,
Software Engineering,DevOps & Infrastructure,Behavior,Reliability focus,"A strong commitment to designing and maintaining systems that are robust, available, and performant.",,
Software Engineering,DevOps & Infrastructure,Behavior,Security consciousness,The practice of integrating security considerations into all aspects of infrastructure management and the CI/CD process.,,
Software Engineering,Data Engineering,Skill,ETL/ELT Pipeline Development,"The ability to design and build pipelines for Extracting, Transforming, and Loading (or Loading then Transforming) data from various sources into a data warehouse.",,
Software Engineering,Data Engineering,Skill,Data Warehousing (Snowflake, BigQuery, Redshift),Knowledge of cloud-based data warehouse platforms used for storing and analyzing large amounts of data.
Software Engineering,Data Engineering,Skill,Distributed Computing (Spark, Hadoop),The ability to use frameworks like Apache Spark and Hadoop to process and analyze very large datasets across a cluster of computers.,
Software Engineering,Data Engineering,Skill,Data Orchestration (Airflow),"The skill of using tools like Apache Airflow to programmatically author, schedule, and monitor data workflows.",,
Software Engineering,Data Engineering,Skill,Streaming Data Processing (Kafka, Flink),The ability to build systems that can process and analyze data in real-time as it is generated.,
Software Engineering,Data Engineering,Skill,SQL Proficiency,Advanced skill in writing complex queries in Structured Query Language (SQL) for data manipulation and analysis.,,
Software Engineering,Data Engineering,Skill,Python for Data Science (Pandas, NumPy),"Proficiency in using core Python libraries like Pandas and NumPy for data manipulation, cleaning, and analysis.",
Software Engineering,Data Engineering,Behavior,Data-centric thinking,"An approach to problem-solving that prioritizes the quality, structure, and flow of data as a core asset.",,
Software Engineering,Data Engineering,Behavior,Attention to data quality,"A meticulous focus on ensuring that data is accurate, consistent, complete, and reliable throughout its lifecycle.",,
Software Engineering,Machine Learning Engineering,Skill,Machine Learning Frameworks (TensorFlow, PyTorch),Proficiency in using major deep learning frameworks like TensorFlow and PyTorch to build and train machine learning models.,
Software Engineering,Machine Learning Engineering,Skill,Model Training and Evaluation,The process of training machine learning models on data and evaluating their performance using various metrics.,,
Software Engineering,Machine Learning Engineering,Skill,Model Deployment (MLOps),"The practice of deploying machine learning models into production environments in a reliable and efficient way, also known as MLOps.",,
Software Engineering,Machine Learning Engineering,Skill,Feature Engineering,The process of using domain knowledge to create features that make machine learning algorithms work better.,,
Software Engineering,Machine Learning Engineering,Skill,Natural Language Processing (NLP),"The ability to work with and build models that can understand, interpret, and generate human language.",,
Software Engineering,Machine Learning Engineering,Skill,Computer Vision,The ability to build systems that can interpret and understand information from digital images or videos.,,
Software Engineering,Machine Learning Engineering,Skill,Scikit-learn,"Proficiency in using the Scikit-learn library for classical machine learning tasks like classification, regression, and clustering.",,
Software Engineering,Machine Learning Engineering,Behavior,Experimental mindset,"An approach characterized by hypothesis testing, iteration, and a willingness to experiment to find the best-performing models.",,
Software Engineering,Machine Learning Engineering,Behavior,Statistical reasoning,The ability to apply statistical concepts and methods to properly design experiments and interpret model results.,,
Software Engineering,Collaboration & Tooling,Skill,Version control (Git),"Proficiency in using the Git version control system to manage code changes, branching, and merging in a collaborative environment.",,
Software Engineering,Collaboration & Tooling,Skill,Agile/Scrum methodologies,A deep understanding of agile principles and the Scrum framework for managing iterative software development projects.,,
Software Engineering,Collaboration & Tooling,Skill,Code reviews,"The practice of systematically reviewing another developer's code to identify bugs, improve quality, and share knowledge.",,
Software Engineering,Collaboration & Tooling,Skill,Pair Programming,"A development technique where two programmers work together at one workstation, with one writing code and the other observing and reviewing.",,
Software Engineering,Collaboration & Tooling,Skill,Project Management Tools (Jira, Asana),"Proficiency in using tools like Jira or Asana to track tasks, manage backlogs, and monitor project progress.",
Software Engineering,Collaboration & Tooling,Skill,Technical Documentation Writing,"The skill of creating clear, concise, and useful documentation for code, APIs, and systems.",,
Software Engineering,Collaboration & Tooling,Behavior,Teamwork,The ability to work effectively and respectfully with other members of the development team to achieve common goals.,,
Software Engineering,Collaboration & Tooling,Behavior,Openness to feedback,A willingness to receive and provide constructive criticism on code and ideas in a professional manner.,,
Software Engineering,Collaboration & Tooling,Behavior,Effective communication,"The ability to clearly articulate technical concepts, ideas, and concerns to both technical and non-technical colleagues.",,
Software Engineering,Collaboration & Tooling,Behavior,Mentorship,"The practice of guiding and supporting less experienced developers, sharing knowledge and fostering their growth.",,
UX Design,User Research,Skill,Usability testing,The practice of evaluating a product by testing it on users to identify any usability problems and areas for improvement.,,
UX Design,User Research,Skill,User interviews,"A research method of conducting one-on-one interviews with users to gain deep insights into their needs, behaviors, and motivations.",,
UX Design,User Research,Skill,Persona creation,The process of creating fictional characters based on user research to represent the different user types that might use a product.,,
UX Design,User Research,Skill,Journey mapping,The skill of creating a visual representation of the user's experience as they interact with a product or service over time.,,
UX Design,User Research,Skill,Diary Studies,"A qualitative research method where users self-report their activities, thoughts, and feelings over a period of time.",,
UX Design,User Research,Skill,Contextual Inquiry,A semi-structured interview method to observe users in their natural environment to understand their tasks and challenges.,,
UX Design,User Research,Skill,Affinity Mapping,A method for organizing and analyzing qualitative data by grouping related observations and insights into themes.,,
UX Design,User Research,Skill,Heuristic Evaluation,A usability inspection method where an evaluator checks a user interface against a set of recognized usability principles (heuristics).,,
UX Design,User Research,Skill,Quantitative data analysis,"The skill of analyzing numerical data from surveys, analytics, or A/B tests to identify patterns and trends in user behavior.",,
UX Design,User Research,Behavior,Empathy,The ability to deeply understand and share the feelings and perspectives of the user.,,
UX Design,User Research,Behavior,Active listening,"The practice of fully concentrating on, understanding, responding to, and then remembering what is being said by users.",,
UX Design,User Research,Behavior,Analytical mindset,The ability to systematically analyze qualitative and quantitative data to extract meaningful and actionable insights.,,
UX Design,User Research,Behavior,Objectivity,The ability to conduct research and interpret findings without bias from personal assumptions or preferences.,,
UX Design,User Research,Behavior,Observational skills,The ability to carefully watch and notice the details of user behavior in their natural context.,,
UX Design,Interaction Design,Skill,Wireframing,"The skill of creating low-fidelity, basic layouts of a user interface to focus on structure and functionality.",,
UX Design,Interaction Design,Skill,Prototyping (low-fi & high-fi),"The ability to create interactive models of a product, ranging from simple paper prototypes to detailed, high-fidelity digital mockups.",,
UX Design,Interaction Design,Skill,Microinteractions,"The skill of designing small, contained moments within a product that accomplish a single task and provide feedback to the user.",,
UX Design,Interaction Design,Skill,User flow design,The skill of mapping out the path a user takes through an application to complete a specific task.,,
UX Design,Interaction Design,Skill,State definition (empty, loading, error),"The practice of designing how the user interface looks and behaves in different states, such as when data is loading, an error occurs, or there is no content."
UX Design,Interaction Design,Skill,Information scent,The skill of providing users with cues and clues to help them predict what they will find as they navigate through a site or app.,,
UX Design,Interaction Design,Skill,Interaction design patterns,"Knowledge of reusable solutions to common usability problems, such as navigation menus, forms, and data tables.",,
UX Design,Interaction Design,Skill,Gesture design for mobile,"The skill of designing intuitive touch gestures (like tap, swipe, and pinch) for mobile interfaces.",,
UX Design,Interaction Design,Behavior,User-centricity,"A consistent focus on the needs, goals, and limitations of the end-user throughout the entire design process.",,
UX Design,Interaction Design,Behavior,Iterative thinking,"An approach to design that involves a continuous cycle of prototyping, testing, and refinement based on user feedback.",,
UX Design,Interaction Design,Behavior,Problem-solving,The ability to identify usability problems and creatively devise effective design solutions.,,
UX Design,Interaction Design,Behavior,Systems thinking,The ability to understand how individual components and interactions fit within the larger context of the entire product or system.,,
